3-a	cont_a	3-b	cont_b	3-c	cont_c	3-d	cont_d	3-e	cont_e	3-f	cont_f	3-g	cont_g	3-h	cont_h	3-i	cont_i
がは	0.002058603	けく	0.001709798	きき	0.002167046	はつ	0.00214611	ふい	0.001882298	しは	0.002156527	トや	0.001833115	るま	0.00200947	にゾ	0.002165453
きを	0.002058603	コノ	0.001709798	キは	0.002167046	まづ	0.00214611	ゆケ	0.001882298	つは	0.002156527	はち	0.001833115	きふ	0.001932479	はか	0.002165453
ソに	0.002058603	きぬ	0.001632432	ヨみ	0.002167046	いは	0.002066917	るコ	0.001882298	まそ	0.002156527	ふか	0.001833115	だも	0.001932479	はば	0.002088391
てみ	0.002058603	だれ	0.001632432	らた	0.002167046	すゲ	0.002066917	はだ	0.001804194	やか	0.002156527	かケ	0.001753759	なギ	0.001932479	よひ	0.002088391
トま	0.002058603	なぐ	0.001632432	あへ	0.002087082	よぶ	0.002066917	みに	0.001804194	やひ	0.002076951	きケ	0.001753759	なヘ	0.001932479	つく	0.002011328
ノわ	0.002058603	はゆ	0.001632432	ノか	0.002087082	あづ	0.001987725	くお	0.001726091	やみ	0.002076951	きつ	0.001753759	むく	0.001932479	トつ	0.002011328
ふぢ	0.002058603	がた	0.001555066	るら	0.002087082	さす	0.001987725	けド	0.001726091	ヨド	0.002076951	ケド	0.001753759	らし	0.001932479	トメ	0.002011328
ほに	0.002058603	さず	0.001555066	てな	0.002007117	ぬに	0.001987725	ゾあ	0.001726091	かふ	0.001997374	さヘ	0.001753759	らに	0.001932479	メつ	0.002011328
ヨせ	0.002058603	りに	0.001555066	てを	0.002007117	むし	0.001987725	むヨ	0.001726091	きせ	0.001997374	すま	0.001753759	りぬ	0.001932479	ゑに	0.002011328
きヨ	0.001979729	をあ	0.001555066	ませ	0.002007117	ゐて	0.001987725	エつ	0.001647987	らし	0.001997374	らさ	0.001753759	ギは	0.001855488	すト	0.001934266
さだ	0.001979729	くこ	0.001477699	まだ	0.002007117	きさ	0.001908533	ひく	0.001647987	かね	0.001917797	らむ	0.001753759	きを	0.001855488	はこ	0.001934266
つり	0.001979729	くば	0.001477699	さぬ	0.001927152	けれ	0.001908533	ヒや	0.001647987	ちド	0.001917797	ぐさ	0.001674404	さぢ	0.001855488	いけ	0.001857203
ねを	0.001979729	てゆ	0.001477699	ちが	0.001927152	こま	0.001908533	むら	0.001647987	なへ	0.001917797	すぐ	0.001674404	ずて	0.001855488	だし	0.001857203
ソコ	0.001900856	ほか	0.001477699	ろか	0.001927152	ひか	0.001908533	てお	0.001569883	にヨ	0.001917797	だく	0.001674404	ノキ	0.001855488	たは	0.001857203
ちぬ	0.001900856	ロし	0.001477699	かる	0.001847187	ゆら	0.001908533	でノ	0.001569883	はを	0.001917797	トに	0.001674404	へし	0.001855488	はコ	0.001857203
ちわ	0.001900856	にこ	0.001400333	キを	0.001847187	らし	0.001908533	ヘド	0.001569883	うち	0.001838221	ぶる	0.001674404	くつ	0.001778496	ゆゑ	0.001857203
めら	0.001900856	はり	0.001400333	せる	0.001847187	まや	0.001829341	べノ	0.001569883	トな	0.001838221	メづ	0.001674404	ぜふ	0.001778496	らじ	0.001857203
