sound	cont
ごに	0.000101766
コぬ	7.00524E-05
コね	7.03694E-05
こね	5.42057E-05
ごね	2.33807E-05
コノ	0.003823517
コの	7.82198E-06
こノ	0.000364084
ごノ	7.82198E-06
コは	7.82198E-06
こは	2.3499E-05
コば	5.54354E-05
こば	2.32345E-05
ゴは	2.33807E-05
コひ	2.33807E-05
こヒ	7.82198E-06
こひ	7.82198E-06
こビ	3.89349E-05
ごヒ	0.000133138
コふ	2.35224E-05
こふ	0.001467963
コぶ	2.3499E-05
こぶ	2.3499E-05
こへ	2.36931E-05
コほ	2.32345E-05
こほ	2.32345E-05
ごほ	7.82198E-06
コま	7.82198E-06
こま	2.35224E-05
ごま	5.5123E-05
こみ	2.36931E-05
コむ	0.000537718
コメ	7.82198E-06
こメ	2.33807E-05
ゴメ	7.82198E-06
コも	0.001389926
こも	7.82198E-06
ゴも	0.000211818
ごも	2.32345E-05
コや	2.32345E-05
こや	0.000115709
ゴや	7.82198E-06
ごや	7.82198E-06
コゆ	7.82198E-06
こゆ	2.32345E-05
コヨ	0.000164521
コよ	5.47348E-05
こヨ	2.35224E-05
こよ	7.82198E-06
コら	7.82198E-06
こら	5.49233E-05
コり	0.000197286
ゴり	7.82198E-06
コる	3.95642E-05
コれ	0.000147704
ゴれ	7.82198E-06
コロ	0.007606833
こロ	2.32345E-05
ゴロ	0.000400333
ごろ	7.82198E-06
コわ	7.82198E-06
こわ	7.82198E-06
ごゐ	7.82198E-06
コゑ	2.35224E-05
ゴゑ	2.35224E-05
コを	0.00010249
こを	0.000333865
ごを	2.3499E-05
さあ	7.82198E-06
さい	2.3499E-05
ざい	2.36931E-05
さう	7.82198E-06
ざう	7.82198E-06
さエ	7.82198E-06
さお	7.82198E-06
さか	3.89395E-05
さが	0.000101884
ざか	3.92519E-05
さキ	6.97644E-05
さき	0.000194905
さギ	7.82198E-06
さぎ	6.94719E-05
さく	2.35224E-05
さぐ	2.35224E-05
さケ	5.43474E-05
さけ	7.82198E-06
さゲ	7.82198E-06
さコ	7.13065E-05
さこ	2.32345E-05
